Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
26,0,35,4,15044.24999999999,240,10,84,2,1,1,25,782.775,0
7,1,38,4,7045.0,118,281,37,2,2,1,25,1586.835,0
3,0,40,1,3798.0,84,12,32,3,1,1,30,203.28,0
4,0,39,0,1745.0,46,48,24,3,1,2,30,263.64,0
7,0,40,1,2860.0,55,185,27,2,1,1,25,963.675,0
5,0,31,2,1395.0,38,203,15,2,2,1,25,977.985,0
5,0,30,1,1648.0,41,40,72,4,1,1,45,142.225,0
12,0,31,0,780.0,27,20,11,3,1,2,30,112.28,0
1,0,30,0,905.0,12,31,7,4,1,2,45,100.425,0
11,0,29,1,1305.0,34,29,17,2,1,1,25,190.755,0
3,0,29,1,3305.0,63,18,27,3,1,1,30,206.72,0
3,0,22,1,1775.0,28,38,18,2,1,1,25,252.135,0
17,0,21,2,6473.0,143,95,46,2,2,1,25,725.22,0
13,0,19,1,9013.0,173,83,44,5,1,1,55,262.29,0
9,0,20,4,2933.0,47,41,23,3,1,1,30,283.2,0
3,0,13,2,4470.0,42,225,14,3,1,1,30,1080.48,0
4,0,13,2,1568.0,21,10,11,3,1,1,30,103.56,1
7,0,34,0,4290.0,69,0,13,2,1,1,25,196.155,0
0,0,35,0,267.50000000000017,0,0,0,2,1,2,25,0.0,0
9,0,33,0,2373.0,58,349,20,2,1,1,25,1679.895,0
9,0,34,0,4118.0,64,0,31,1,1,1,25,230.01,0
2,0,34,0,2313.0,56,0,29,1,1,1,25,130.295,0
10,0,34,0,3695.0,80,22,24,3,1,1,30,239.0,0
3,0,34,0,2280.0,37,275,14,3,1,1,30,1192.68,0
12,0,33,1,9035.0,119,134,39,3,1,1,30,902.16,0
6,0,34,0,13693.0,167,0,40,3,1,1,30,554.4,0
6,0,34,0,4435.0,81,0,21,3,1,1,30,180.64,0
5,0,34,0,5838.0,93,0,8,2,1,1,25,266.895,0
8,0,34,0,2158.0,52,0,13,3,1,2,30,88.4,0
24,0,34,2,15044.24999999999,223,44,28,3,1,1,30,787.32,0
3,0,34,0,3015.0,25,473,4,3,1,1,30,2013.6,0
8,0,33,0,15044.24999999999,180,140,26,2,1,1,25,1331.325,0
2,0,33,0,6420.0,84,176,22,3,1,1,30,964.16,0
0,0,33,0,795.0,12,0,7,2,1,2,25,36.315,0
1,0,34,0,630.0,12,3,4,2,1,2,25,42.39,0
0,0,33,0,267.50000000000017,0,0,0,2,1,2,25,0.0,1
2,0,33,0,7428.0,125,374,39,2,1,1,25,2022.885,0
6,0,33,0,11385.0,152,1,43,3,1,1,30,465.48,0
7,0,33,0,6638.0,73,98,33,2,1,1,25,742.995,0
22,0,29,0,875.0,45,6,13,2,1,2,25,68.4,1
20,0,32,4,10355.0,91,0,38,4,1,1,45,261.15,0
12,1,32,0,5738.0,96,16,20,2,1,1,25,334.53,1
0,0,30,0,2760.0,20,0,10,3,1,1,30,111.2,0
8,1,31,0,2910.0,39,0,12,3,1,2,30,117.96,1
8,0,32,0,2188.0,42,24,27,3,1,2,30,185.2,1
0,1,32,0,267.50000000000017,0,0,0,3,1,2,30,0.0,1
0,0,32,0,1588.0,23,0,2,3,1,1,30,64.44,0
2,0,29,0,6705.0,95,4,18,4,1,1,45,180.0,0
0,0,32,0,267.50000000000017,0,0,0,4,1,2,45,0.0,1
0,0,32,0,267.50000000000017,0,0,0,5,1,1,55,0.0,0
24,0,27,2,15044.24999999999,236,0,76,2,1,1,25,730.395,0
5,0,30,2,6885.0,114,261,29,2,2,1,25,1489.455,0
1,0,32,0,3638.0,80,0,24,2,1,1,25,167.31,0
2,0,31,0,1585.0,42,28,16,3,1,2,30,177.08,0
5,0,32,0,2700.0,51,165,19,2,1,1,25,866.295,0
3,0,23,0,1235.0,34,183,7,2,2,1,25,880.605,0
3,0,22,0,1488.0,37,20,64,4,1,1,45,88.125,0
10,0,23,0,620.0,23,0,3,2,1,2,25,28.935,0
0,0,22,0,267.50000000000017,0,11,0,4,1,2,45,27.5,0
9,0,21,0,1145.0,30,9,9,2,1,1,25,93.375,0
1,0,21,0,3145.0,59,0,19,3,1,1,30,128.16,0
1,0,14,0,1615.0,24,18,10,2,1,1,25,154.755,0
15,0,13,0,6313.0,139,75,38,1,2,1,25,767.36,0
11,0,13,0,8853.0,169,63,36,4,1,1,45,383.05,0
7,0,13,2,2773.0,43,21,15,3,1,1,30,196.64,0
1,0,13,0,4310.0,38,205,6,3,1,1,30,993.92,0
2,0,13,0,1408.0,17,0,3,3,1,1,30,57.0,1
13,0,42,1,4630.0,81,20,23,3,1,1,30,268.44,0
5,0,42,0,578.0,15,22,10,3,1,2,30,111.72,0
15,0,42,1,2713.0,70,374,30,3,1,1,30,1607.32,0
15,0,42,1,4458.0,76,16,41,1,1,1,25,337.37,0
8,0,42,1,2653.0,68,17,39,2,1,1,25,198.945,0
16,0,42,2,4035.0,92,47,34,3,1,1,30,353.08,0
9,0,42,1,2620.0,49,300,24,3,1,1,30,1306.76,0
18,0,42,3,9375.0,131,159,49,3,1,1,30,1016.24,0
12,0,42,1,14033.0,179,15,50,3,1,1,30,628.48,0
12,0,42,2,4775.0,93,17,31,3,1,1,30,262.72,0
11,0,42,1,6178.0,105,22,18,3,1,1,30,339.32,0
14,1,42,0,2498.0,64,23,23,3,1,2,30,194.48,0
30,0,42,4,15044.24999999999,235,69,38,3,1,1,30,901.4,0
9,0,42,2,3355.0,37,498,14,3,1,1,30,2127.68,0
14,0,42,1,15044.24999999999,192,165,36,2,1,1,25,1459.665,0
8,0,42,2,6760.0,96,201,32,3,1,1,30,1078.24,0
5,0,42,0,1135.0,24,15,17,2,1,2,25,119.655,0
7,0,42,0,970.0,24,28,14,3,1,2,30,151.76,0
5,0,42,0,267.50000000000017,10,15,6,2,1,2,25,79.65,1
8,0,42,1,7768.0,137,399,49,3,1,1,30,1912.2,0
12,0,42,2,11725.0,164,26,53,4,1,1,45,362.225,0
13,0,42,2,6978.0,85,123,43,2,1,1,25,871.335,0
28,1,39,0,1215.0,57,31,23,3,1,2,30,174.88,1
26,0,42,4,10695.0,103,16,48,5,2,1,55,185.97,0
18,0,42,2,6078.0,108,41,30,2,1,1,25,462.87,0
6,0,40,1,3100.0,32,15,20,3,1,1,30,185.28,0
14,1,41,0,3250.0,51,24,22,3,1,2,30,228.04,1
14,1,42,0,2528.0,54,49,37,4,1,2,45,187.05,1
5,0,42,0,393.0,12,15,8,3,1,2,30,76.2,1
6,0,42,1,1928.0,35,15,12,4,1,1,45,86.575,0
8,0,39,2,7045.0,107,29,28,5,1,1,55,150.78,0
5,0,42,0,888.0,17,24,10,4,1,2,45,82.625,1
5,0,42,2,598.0,14,19,8,5,1,1,55,37.68,0
30,1,37,4,15044.24999999999,248,15,86,2,1,1,25,813.735,0
11,1,40,4,7225.0,126,286,39,3,2,1,30,1438.04,0
7,0,42,1,3978.0,92,17,34,3,1,1,30,230.8,0
8,0,41,0,1925.0,54,53,26,3,1,2,30,291.16,0
11,0,42,1,3040.0,63,190,29,2,1,1,25,994.635,0
9,0,33,2,1575.0,46,208,17,3,2,1,30,896.84,0
9,0,32,1,1828.0,49,45,74,5,1,1,55,95.655,0
16,0,33,0,960.0,35,25,13,3,1,2,30,139.8,0
5,0,32,0,1085.0,20,36,9,4,1,2,45,117.625,0
15,0,31,1,1485.0,42,34,19,2,1,1,25,221.715,0
7,0,31,1,3485.0,71,23,29,3,1,1,30,234.24,0
7,0,24,1,1955.0,36,43,20,3,1,1,30,251.64,0
21,0,23,2,6653.0,151,100,48,2,2,1,25,756.18,0
17,0,21,1,9193.0,181,88,46,5,1,1,55,272.61,0
13,0,22,4,3113.0,55,46,25,3,1,1,30,310.72,0
7,0,15,2,4650.0,50,230,16,3,1,1,30,1108.0,0
8,1,15,2,1748.0,29,15,13,3,1,1,30,131.08,1
3,0,32,0,4110.0,61,0,11,2,1,1,25,187.695,0
0,0,33,0,267.50000000000017,0,0,0,2,1,2,25,0.0,0
5,0,31,0,2193.0,50,344,18,2,1,1,25,1648.935,0
5,0,32,0,3938.0,56,0,29,1,1,1,25,219.67,0
0,0,32,0,2133.0,48,0,27,1,1,1,25,119.955,0
6,0,32,0,3515.0,72,17,22,2,1,1,25,237.915,0
0,0,32,0,2100.0,29,270,12,3,1,1,30,1165.16,0
8,0,31,1,8855.0,111,129,37,3,1,1,30,874.64,0
2,0,32,0,13513.0,159,0,38,3,1,1,30,546.88,0
2,0,32,0,4255.0,73,0,19,3,1,1,30,173.12,0
1,0,32,0,5658.0,85,0,6,2,1,1,25,258.435,0
4,0,32,0,1978.0,44,0,11,3,1,2,30,80.88,0
20,0,32,2,14880.0,215,39,26,3,1,1,30,759.8,0
0,0,32,0,2835.0,17,468,2,3,1,1,30,1986.08,0
4,0,31,0,15044.24999999999,172,135,24,2,1,1,25,1300.365,0
0,0,31,0,6240.0,76,171,20,3,1,1,30,936.64,0
0,0,31,0,615.0,4,0,5,2,1,2,25,27.855,0
0,0,32,0,450.0,4,0,2,2,1,2,25,20.43,0
0,0,31,0,267.50000000000017,0,0,0,2,1,2,25,0.0,1
0,0,31,0,7248.0,117,369,37,2,1,1,25,1991.925,0
2,0,31,0,11205.0,144,0,41,3,1,1,30,453.96,0
3,0,31,0,6458.0,65,93,31,2,1,1,25,712.035,0
18,1,27,0,695.0,37,1,11,2,1,2,25,37.44,1
16,0,30,4,10175.0,83,0,36,4,1,1,45,256.45,0
8,1,30,0,5558.0,88,11,18,2,1,1,25,303.57,1
0,0,28,0,2580.0,12,0,8,3,1,1,30,103.68,0
4,0,29,0,2730.0,31,0,10,2,1,2,25,124.245,1
4,1,30,0,2008.0,34,19,25,3,1,2,30,157.68,1
0,0,30,0,267.50000000000017,0,0,0,3,1,2,30,0.0,1
0,0,30,0,267.50000000000017,0,0,0,3,1,1,30,0.0,0
0,0,27,0,6525.0,87,0,16,4,1,1,45,165.3,0
0,1,30,0,267.50000000000017,0,0,0,4,1,2,45,0.0,1
0,1,30,0,267.50000000000017,0,0,0,5,1,1,55,0.0,1
20,0,25,2,15044.24999999999,228,0,74,2,1,1,25,721.935,0
1,0,28,2,6705.0,106,256,27,2,2,1,25,1458.495,0
0,0,30,0,3458.0,72,0,22,2,1,1,25,158.85,0
0,0,29,0,1405.0,34,23,14,3,1,2,30,149.56,0
1,0,30,0,2520.0,43,160,17,2,1,1,25,835.335,0
0,0,21,0,1055.0,26,178,5,2,2,1,25,849.645,0
0,0,20,0,1308.0,29,15,62,4,1,1,45,70.925,0
6,0,21,0,440.0,15,0,1,2,1,2,25,20.475,0
0,0,20,0,267.50000000000017,0,6,0,4,1,2,45,15.0,0
5,0,19,0,965.0,22,4,7,2,1,1,25,62.415,0
0,0,19,0,2965.0,51,0,17,3,1,1,30,120.64,0
0,0,13,0,1435.0,16,13,8,2,1,1,25,123.795,0
11,0,13,0,6133.0,131,70,36,1,2,1,25,729.52,0
7,0,13,0,8673.0,161,58,34,4,1,1,45,365.85,0
3,0,13,2,2593.0,35,16,13,3,1,1,30,169.12,0
0,0,13,0,4130.0,30,200,4,3,1,1,30,966.4,0
0,1,13,0,1228.0,9,0,1,2,1,1,25,55.665,1
10,0,41,0,4550.0,79,16,22,3,1,1,30,249.16,0
2,0,42,0,498.0,13,18,9,2,1,2,25,103.995,0
12,0,40,0,2633.0,68,370,29,3,1,1,30,1588.04,0
12,0,41,0,4378.0,74,12,40,1,1,1,25,310.86,0
5,0,41,0,2573.0,66,13,38,1,1,1,25,216.645,0
13,0,41,1,3955.0,90,43,33,3,1,1,30,333.8,0
6,0,41,0,2540.0,47,296,23,3,1,1,30,1287.48,0
15,0,40,2,9295.0,129,155,48,3,1,1,30,996.96,0
9,0,41,0,13953.0,177,11,49,3,1,1,30,609.2,0
9,0,41,1,4695.0,91,13,30,3,1,1,30,243.44,0
8,0,41,0,6098.0,103,18,17,3,1,1,30,320.04,0
11,0,41,0,2418.0,62,19,22,3,1,2,30,175.2,0
27,0,41,3,15044.24999999999,233,65,37,3,1,1,30,882.12,0
6,0,41,1,3275.0,35,494,13,3,1,1,30,2108.4,0
11,0,40,0,15044.24999999999,190,161,35,2,1,1,25,1437.975,0
5,0,40,1,6680.0,94,197,31,3,1,1,30,1058.96,0
2,0,40,0,1055.0,22,11,16,2,1,2,25,97.965,0
4,0,41,0,890.0,22,24,13,3,1,2,30,132.48,0
2,0,40,0,267.50000000000017,8,11,5,2,1,2,25,57.96,1
5,0,40,0,7688.0,135,395,48,2,1,1,25,2129.535,0
9,0,40,1,11645.0,162,22,52,4,1,1,45,350.175,0
10,0,40,1,6898.0,83,119,42,2,1,1,25,849.645,0
25,1,36,0,1135.0,55,27,22,2,1,2,25,175.05,1
23,0,39,4,10615.0,101,12,47,5,1,1,55,178.74,0
15,0,39,1,5998.0,106,37,29,2,1,1,25,441.18,0
3,0,37,0,3020.0,30,11,19,3,1,1,30,166.0,0
11,1,38,0,3170.0,49,20,21,3,1,2,30,208.76,1
11,1,39,0,2448.0,52,45,36,3,1,2,30,280.0,1
2,1,39,0,313.0,10,11,7,3,1,2,30,56.92,1
3,0,39,0,1848.0,33,11,11,3,1,1,30,119.24,0
5,0,36,1,6965.0,105,25,27,5,1,1,55,143.55,0
2,0,39,0,808.0,15,20,9,4,1,2,45,70.575,1
2,0,39,1,518.0,12,15,7,5,1,1,55,30.45,0
27,1,34,3,15044.24999999999,246,11,85,2,1,1,25,792.045,0
8,0,37,3,7145.0,124,282,38,2,2,1,25,1596.105,0
4,0,39,0,3898.0,90,13,33,2,1,1,25,237.96,0
5,0,38,0,1845.0,52,49,25,3,1,2,30,271.88,0
8,0,39,0,2960.0,61,186,28,2,1,1,25,972.945,0
6,1,30,1,1495.0,44,204,16,2,2,1,25,987.255,1
6,0,29,0,1748.0,47,41,73,4,1,1,45,147.375,0
13,0,30,0,880.0,33,21,12,2,1,2,25,135.585,0
2,0,29,0,1005.0,18,32,8,4,1,2,45,105.575,0
12,0,28,0,1405.0,40,30,18,2,1,1,25,200.025,0
4,0,28,0,3405.0,69,19,28,3,1,1,30,214.96,0
4,0,21,0,1875.0,34,39,19,2,1,1,25,261.405,0
18,0,20,1,6573.0,149,96,47,2,2,1,25,734.49,0
14,0,18,0,9113.0,179,84,45,4,1,1,45,442.3,0
10,0,19,3,3033.0,53,42,24,3,1,1,30,291.44,0
4,0,13,1,4570.0,48,226,15,3,1,1,30,1088.72,0
5,0,13,1,1668.0,27,11,12,3,1,1,30,111.8,1
6,0,35,0,4190.0,63,0,12,3,1,1,30,170.12,0
0,0,36,0,267.50000000000017,0,0,0,2,1,2,25,0.0,0
8,0,34,0,2273.0,52,348,19,3,1,1,30,1485.0,0
8,0,35,0,4018.0,58,0,30,1,1,1,25,224.18,0
1,0,35,0,2213.0,50,0,28,1,1,1,25,124.465,0
9,0,35,1,3595.0,74,21,23,3,1,1,30,230.76,0
2,0,35,0,2180.0,31,274,13,3,1,1,30,1184.44,0
11,0,34,2,8935.0,113,133,38,3,1,1,30,893.92,0
5,0,35,0,13593.0,161,0,39,3,1,1,30,550.16,0
5,0,35,1,4335.0,75,0,20,3,1,1,30,176.4,0
4,0,35,0,5738.0,87,0,7,3,1,1,30,233.0,0
7,0,35,0,2058.0,46,0,12,3,1,2,30,84.16,0
23,0,35,3,14960.0,217,43,27,3,1,1,30,779.08,0
2,0,35,1,2915.0,19,472,3,3,1,1,30,2005.36,0
